settlement_date,processor,transaction_id,gross_amount,fee,net_amount,currency,status,reference
2026-09-03,BillDesk,SET-97900,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-78146
2026-09-16,Razorpay,SET-91678,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-19171
2026-09-26,Razorpay,SET-52753,18200.0000,0.0000,18200.0000,INR,SETTLED,REF-49363
2026-09-20,Razorpay,SET-98777,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-26683
2026-09-21,Stripe,SET-49829,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-49446
2026-09-16,Razorpay,SET-67905,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-86019
2026-09-19,BillDesk,SET-32241,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-72021
2026-09-19,Stripe,SET-40784,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-97012
2026-09-09,Razorpay,SET-90120,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-29313
2026-09-16,BillDesk,SET-60328,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-92544
2026-09-10,Stripe,SET-65724,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-29342
2026-09-25,Stripe,SET-25906,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-77889
2026-09-17,BillDesk,SET-51588,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-97500
2026-09-26,BillDesk,SET-68446,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-76162
2026-09-17,BillDesk,SET-46347,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-43972
2026-09-23,BillDesk,SET-47450,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-41358
2026-09-13,Stripe,SET-29769,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-51904
2026-09-25,Razorpay,SET-63424,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-30028
2026-09-17,Razorpay,SET-61049,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-64496
2026-09-27,Razorpay,SET-49139,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-85456
2026-09-20,Stripe,SET-73993,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-81582
2026-09-16,BillDesk,SET-99016,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-73654
2026-09-17,Razorpay,SET-87580,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-26728
2026-09-05,Razorpay,SET-33819,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-94246
2026-09-15,Razorpay,SET-59692,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-52906
2026-09-11,BillDesk,SET-16826,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-20735
2026-09-23,Stripe,SET-14067,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-18993
2026-09-03,Razorpay,SET-97747,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-91439
2026-09-09,Razorpay,SET-31992,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-70952
2026-09-26,Razorpay,SET-24168,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-25012
2026-09-12,Razorpay,SET-61990,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-85470
2026-09-21,Razorpay,SET-99687,18200.0000,0.0000,18200.0000,INR,SETTLED,REF-92213
2026-09-21,BillDesk,SET-58571,18200.0000,0.0000,18200.0000,INR,SETTLED,REF-15383
2026-09-23,Razorpay,SET-23833,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-54725
2026-09-23,Stripe,SET-78386,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-70258
2026-09-20,BillDesk,SET-87656,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-73372
2026-09-10,Stripe,SET-70910,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-21359
2026-09-24,Razorpay,SET-33834,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-59674
2026-09-14,BillDesk,SET-46211,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-43862
2026-09-19,Razorpay,SET-74038,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-35042
2026-09-25,Razorpay,SET-12260,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-72402
2026-09-10,BillDesk,SET-86225,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-63005
2026-09-20,BillDesk,SET-82140,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-79588
2026-09-25,Stripe,SET-25814,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-69473
2026-09-06,Stripe,SET-35105,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-80236
2026-09-11,Razorpay,SET-23176,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-87278
2026-09-10,BillDesk,SET-80010,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-57301
2026-09-04,Stripe,SET-93606,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-17146
2026-09-03,Razorpay,SET-54657,18200.0000,0.0000,18200.0000,INR,SETTLED,REF-85243
2026-09-11,Razorpay,SET-74454,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-72616
2026-09-23,BillDesk,SET-49824,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-99974
2026-09-06,BillDesk,SET-91057,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-83147
2026-09-15,BillDesk,SET-66207,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-69049
2026-09-22,Stripe,SET-37235,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-17894
2026-09-24,BillDesk,SET-19838,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-20641
2026-09-16,Razorpay,SET-14278,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-69048
2026-09-25,Stripe,SET-40595,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-47056
2026-09-24,Stripe,SET-94886,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-35928
