date,description,amount,currency,reference,type
2026-09-03,RAZORPAY PAYOUT 61173,65000.0000,INR,REF-61173,CREDIT
2026-09-24,Stripe INC DISBURSEMENT #73788 Orbit Me,110000.0000,INR,REF-73788,CREDIT
2026-09-04,Razorpay INC DISBURSEMENT #51104 Bharat F,110000.0000,INR,REF-51104,CREDIT
2026-09-04,STRIPE PAYOUT 76562,24500.0000,INR,REF-76562,CREDIT
2026-09-15,STRIPE PAYOUT 25713,36000.0000,INR,REF-25713,CREDIT
2026-09-22,BILLDESK PAYOUT 20745,12500.0000,INR,REF-20745,CREDIT
2026-09-09,RAZORPAY PAYOUT 97782,48000.0000,INR,REF-97782,CREDIT
2026-09-17,STRIPE PAYOUT 51441,48000.0000,INR,REF-51441,CREDIT
2026-09-21,BILLDESK PAYOUT 23104,125000.0000,INR,REF-23104,CREDIT
2026-09-05,RAZORPAY PAYOUT 42018,52000.0000,INR,REF-42018,CREDIT
2026-09-23,BILLDESK PAYOUT 79329,125000.0000,INR,REF-79329,CREDIT
2026-09-11,BillDesk INC DISBURSEMENT #25129 Zeta Clo,24500.0000,INR,REF-25129,CREDIT
2026-09-22,BILLDESK PAYOUT 37607,48000.0000,INR,REF-37607,CREDIT
2026-09-18,STRIPE PAYOUT 42914,110000.0000,INR,REF-42914,CREDIT
2026-09-04,BILLDESK PAYOUT 10464,48000.0000,INR,REF-10464,CREDIT
2026-09-20,Stripe INC DISBURSEMENT #66057 Apex Log,95000.0000,INR,REF-66057,CREDIT
2026-09-14,Stripe INC DISBURSEMENT #86350 Zenith H,12500.0000,INR,REF-86350,CREDIT
2026-09-04,BILLDESK PAYOUT 56898,52000.0000,INR,REF-56898,CREDIT
2026-09-16,Stripe INC DISBURSEMENT #91351 BlueSton,110000.0000,INR,REF-91351,CREDIT
2026-09-03,RAZORPAY PAYOUT 33509,65000.0000,INR,REF-33509,CREDIT
2026-09-08,RAZORPAY PAYOUT 24168,48000.0000,INR,REF-24168,CREDIT
2026-09-14,STRIPE PAYOUT 50001,95000.0000,INR,REF-50001,CREDIT
2026-09-15,RAZORPAY PAYOUT 53025,36000.0000,INR,REF-53025,CREDIT
2026-09-24,STRIPE PAYOUT 80282,65000.0000,INR,REF-80282,CREDIT
2026-09-11,RAZORPAY PAYOUT 15014,125000.0000,INR,REF-15014,CREDIT
2026-09-19,STRIPE PAYOUT 25157,125000.0000,INR,REF-25157,CREDIT
2026-09-03,BILLDESK PAYOUT 78146,65000.0000,INR,REF-78146,CREDIT
2026-09-16,RAZORPAY PAYOUT 19171,52000.0000,INR,REF-19171,CREDIT
2026-09-26,RAZORPAY PAYOUT 49363,18200.0000,INR,REF-49363,CREDIT
2026-09-20,RAZORPAY PAYOUT 26683,48000.0000,INR,REF-26683,CREDIT
2026-09-21,STRIPE PAYOUT 49446,125000.0000,INR,REF-49446,CREDIT
2026-09-16,RAZORPAY PAYOUT 86019,36000.0000,INR,REF-86019,CREDIT
2026-09-19,BILLDESK PAYOUT 72021,36000.0000,INR,REF-72021,CREDIT
2026-09-19,STRIPE PAYOUT 97012,48000.0000,INR,REF-97012,CREDIT
2026-09-09,Razorpay INC DISBURSEMENT #29313 Nexus Re,36000.0000,INR,REF-29313,CREDIT
2026-09-16,BillDesk INC DISBURSEMENT #92544 Zeta Clo,95000.0000,INR,REF-92544,CREDIT
2026-09-10,STRIPE PAYOUT 29342,65000.0000,INR,REF-29342,CREDIT
2026-09-25,Stripe INC DISBURSEMENT #77889 Kaveri E,24500.0000,INR,REF-77889,CREDIT
2026-09-17,BILLDESK PAYOUT 97500,24500.0000,INR,REF-97500,CREDIT
2026-09-26,BILLDESK PAYOUT 76162,125000.0000,INR,REF-76162,CREDIT
2026-09-17,BillDesk INC DISBURSEMENT #43972 Apex Log,95000.0000,INR,REF-43972,CREDIT
2026-09-23,BILLDESK PAYOUT 41358,95000.0000,INR,REF-41358,CREDIT
2026-09-13,STRIPE PAYOUT 51904,48000.0000,INR,REF-51904,CREDIT
2026-09-25,Razorpay INC DISBURSEMENT #30028 Kaveri E,65000.0000,INR,REF-30028,CREDIT
2026-09-17,Razorpay INC DISBURSEMENT #64496 BlueSton,110000.0000,INR,REF-64496,CREDIT
2026-09-27,RAZORPAY PAYOUT 85456,12500.0000,INR,REF-85456,CREDIT
2026-09-20,STRIPE PAYOUT 81582,65000.0000,INR,REF-81582,CREDIT
2026-09-16,BILLDESK PAYOUT 73654,48000.0000,INR,REF-73654,CREDIT
2026-09-17,RAZORPAY PAYOUT 26728,24500.0000,INR,REF-26728,CREDIT
2026-09-05,Razorpay INC DISBURSEMENT #94246 Bharat F,12500.0000,INR,REF-94246,CREDIT
2026-09-15,RAZORPAY PAYOUT 52906,48000.0000,INR,REF-52906,CREDIT
2026-09-11,BillDesk INC DISBURSEMENT #20735 Nexus Re,65000.0000,INR,REF-20735,CREDIT
2026-09-23,STRIPE PAYOUT 18993,36000.0000,INR,REF-18993,CREDIT
2026-09-03,Razorpay INC DISBURSEMENT #91439 Kaveri E,36000.0000,INR,REF-91439,CREDIT
2026-09-09,RAZORPAY PAYOUT 70952,125000.0000,INR,REF-70952,CREDIT
2026-09-26,RAZORPAY PAYOUT 25012,125000.0000,INR,REF-25012,CREDIT
2026-09-12,RAZORPAY PAYOUT 85470,12500.0000,INR,REF-85470,CREDIT
2026-09-21,Razorpay INC DISBURSEMENT #92213 Kaveri E,18200.0000,INR,REF-92213,CREDIT
2026-09-21,BILLDESK PAYOUT 15383,18200.0000,INR,REF-15383,CREDIT
2026-09-23,RAZORPAY PAYOUT 54725,110000.0000,INR,REF-54725,CREDIT
2026-09-23,Stripe INC DISBURSEMENT #70258 Orbit Me,52000.0000,INR,REF-70258,CREDIT
2026-09-20,BILLDESK PAYOUT 73372,125000.0000,INR,REF-73372,CREDIT
2026-09-10,STRIPE PAYOUT 21359,52000.0000,INR,REF-21359,CREDIT
2026-09-24,Razorpay INC DISBURSEMENT #59674 Bharat F,125000.0000,INR,REF-59674,CREDIT
2026-09-14,BILLDESK PAYOUT 43862,36000.0000,INR,REF-43862,CREDIT
2026-09-19,Razorpay INC DISBURSEMENT #35042 Zenith H,12500.0000,INR,REF-35042,CREDIT
2026-09-25,RAZORPAY PAYOUT 72402,36000.0000,INR,REF-72402,CREDIT
2026-09-10,BillDesk INC DISBURSEMENT #63005 Zeta Clo,48000.0000,INR,REF-63005,CREDIT
2026-09-20,BILLDESK PAYOUT 79588,95000.0000,INR,REF-79588,CREDIT
2026-09-25,STRIPE PAYOUT 69473,52000.0000,INR,REF-69473,CREDIT
2026-09-06,STRIPE PAYOUT 80236,52000.0000,INR,REF-80236,CREDIT
2026-09-11,RAZORPAY PAYOUT 87278,95000.0000,INR,REF-87278,CREDIT
2026-09-10,BILLDESK PAYOUT 57301,48000.0000,INR,REF-57301,CREDIT
2026-09-04,STRIPE PAYOUT 17146,48000.0000,INR,REF-17146,CREDIT
2026-09-03,RAZORPAY PAYOUT 85243,18200.0000,INR,REF-85243,CREDIT
2026-09-11,RAZORPAY PAYOUT 72616,12500.0000,INR,REF-72616,CREDIT
2026-09-23,BillDesk INC DISBURSEMENT #99974 Zeta Clo,125000.0000,INR,REF-99974,CREDIT
2026-09-06,BILLDESK PAYOUT 83147,36000.0000,INR,REF-83147,CREDIT
2026-09-15,BILLDESK PAYOUT 69049,110000.0000,INR,REF-69049,CREDIT
2026-09-22,STRIPE PAYOUT 17894,125000.0000,INR,REF-17894,CREDIT
2026-09-24,BillDesk INC DISBURSEMENT #20641 Kaveri E,48000.0000,INR,REF-20641,CREDIT
2026-09-16,RAZORPAY PAYOUT 69048,12500.0000,INR,REF-69048,CREDIT
2026-09-25,STRIPE PAYOUT 47056,48000.0000,INR,REF-47056,CREDIT
2026-09-24,Stripe INC DISBURSEMENT #35928 Nexus Re,125000.0000,INR,REF-35928,CREDIT
