invoice_number,customer,invoice_date,due_date,amount,currency,status
INV-2656,Zenith Health Systems,2026-09-03,2026-09-18,24500.0000,INR,PAID
INV-9713,Zeta Cloud Services,2026-09-14,2026-09-29,36000.0000,INR,PAID
INV-5434,Bharat FinServ,2026-09-21,2026-10-06,12500.0000,INR,PAID
INV-7867,BlueStone Analytics,2026-09-08,2026-09-23,48000.0000,INR,PAID
INV-9610,Apex Logistics India,2026-09-16,2026-10-01,48000.0000,INR,PAID
INV-2600,Trident Infotech,2026-09-20,2026-10-05,125000.0000,INR,PAID
INV-5027,Apex Logistics India,2026-09-04,2026-09-19,52000.0000,INR,PAID
INV-2064,Nexus Retail Solutions,2026-09-22,2026-10-07,125000.0000,INR,PAID
INV-9288,Zeta Cloud Services,2026-09-10,2026-09-25,24500.0000,INR,PAID
INV-7878,Nexus Retail Solutions,2026-09-21,2026-10-06,48000.0000,INR,PAID
INV-9416,Nexus Retail Solutions,2026-09-17,2026-10-02,110000.0000,INR,PAID
INV-4732,Orbit Media Works,2026-09-03,2026-09-18,48000.0000,INR,PAID
INV-6594,Apex Logistics India,2026-09-19,2026-10-04,95000.0000,INR,PAID
INV-6526,Zenith Health Systems,2026-09-13,2026-09-28,12500.0000,INR,PAID
INV-3720,Nexus Retail Solutions,2026-09-03,2026-09-18,52000.0000,INR,PAID
INV-8139,BlueStone Analytics,2026-09-15,2026-09-30,110000.0000,INR,PAID
INV-8033,Apex Logistics India,2026-09-02,2026-09-17,65000.0000,INR,PAID
INV-5133,Kaveri Enterprises,2026-09-07,2026-09-22,48000.0000,INR,PAID
INV-8721,Kaveri Enterprises,2026-09-13,2026-09-28,95000.0000,INR,PAID
INV-4282,Acme Technologies Pvt Ltd,2026-09-14,2026-09-29,36000.0000,INR,PAID
INV-4712,Zenith Health Systems,2026-09-23,2026-10-08,65000.0000,INR,PAID
INV-2888,Apex Logistics India,2026-09-10,2026-09-25,125000.0000,INR,PAID
INV-5155,Orbit Media Works,2026-09-18,2026-10-03,125000.0000,INR,PAID
INV-9582,Acme Technologies Pvt Ltd,2026-09-02,2026-09-17,65000.0000,INR,PAID
INV-9773,Kaveri Enterprises,2026-09-15,2026-09-30,52000.0000,INR,PAID
INV-6154,BlueStone Analytics,2026-09-25,2026-10-10,18200.0000,INR,PAID
INV-3571,Orbit Media Works,2026-09-19,2026-10-04,48000.0000,INR,PAID
INV-5326,Apex Logistics India,2026-09-20,2026-10-05,125000.0000,INR,PAID
INV-6969,Nexus Retail Solutions,2026-09-15,2026-09-30,36000.0000,INR,PAID
INV-8502,Trident Infotech,2026-09-18,2026-10-03,36000.0000,INR,PAID
INV-7185,Zeta Cloud Services,2026-09-18,2026-10-03,48000.0000,INR,PAID
INV-2200,Nexus Retail Solutions,2026-09-08,2026-09-23,36000.0000,INR,PAID
INV-6715,Zeta Cloud Services,2026-09-15,2026-09-30,95000.0000,INR,PAID
INV-7374,Trident Infotech,2026-09-09,2026-09-24,65000.0000,INR,PAID
INV-5805,Kaveri Enterprises,2026-09-24,2026-10-09,24500.0000,INR,PAID
INV-6351,Trident Infotech,2026-09-16,2026-10-01,24500.0000,INR,PAID
INV-5495,Trident Infotech,2026-09-25,2026-10-10,125000.0000,INR,PAID
INV-8158,Apex Logistics India,2026-09-16,2026-10-01,95000.0000,INR,PAID
INV-4249,Zenith Health Systems,2026-09-22,2026-10-07,95000.0000,INR,PAID
INV-9315,Kaveri Enterprises,2026-09-12,2026-09-27,48000.0000,INR,PAID
INV-7786,Kaveri Enterprises,2026-09-24,2026-10-09,65000.0000,INR,PAID
INV-2510,BlueStone Analytics,2026-09-16,2026-10-01,110000.0000,INR,PAID
INV-5116,Bharat FinServ,2026-09-26,2026-10-11,12500.0000,INR,PAID
INV-8552,Orbit Media Works,2026-09-19,2026-10-04,65000.0000,INR,PAID
INV-2237,Kaveri Enterprises,2026-09-15,2026-09-30,48000.0000,INR,PAID
INV-7097,Orbit Media Works,2026-09-16,2026-10-01,24500.0000,INR,PAID
INV-5511,Bharat FinServ,2026-09-04,2026-09-19,12500.0000,INR,PAID
INV-3733,Acme Technologies Pvt Ltd,2026-09-14,2026-09-29,48000.0000,INR,PAID
INV-5852,Nexus Retail Solutions,2026-09-10,2026-09-25,65000.0000,INR,PAID
INV-8399,BlueStone Analytics,2026-09-22,2026-10-07,36000.0000,INR,PAID
INV-3248,Kaveri Enterprises,2026-09-02,2026-09-17,36000.0000,INR,PAID
INV-7730,Zeta Cloud Services,2026-09-08,2026-09-23,125000.0000,INR,PAID
INV-8371,Bharat FinServ,2026-09-25,2026-10-10,125000.0000,INR,PAID
INV-7548,Bharat FinServ,2026-09-11,2026-09-26,12500.0000,INR,PAID
INV-3989,Kaveri Enterprises,2026-09-20,2026-10-05,18200.0000,INR,PAID
INV-4844,Bharat FinServ,2026-09-20,2026-10-05,18200.0000,INR,PAID
INV-2103,Zeta Cloud Services,2026-09-22,2026-10-07,110000.0000,INR,PAID
INV-7794,Orbit Media Works,2026-09-22,2026-10-07,52000.0000,INR,PAID
INV-5808,Nexus Retail Solutions,2026-09-19,2026-10-04,125000.0000,INR,PAID
INV-4284,Nexus Retail Solutions,2026-09-09,2026-09-24,52000.0000,INR,PAID
INV-4755,Bharat FinServ,2026-09-23,2026-10-08,125000.0000,INR,PAID
INV-4788,Trident Infotech,2026-09-13,2026-09-28,36000.0000,INR,PAID
INV-2701,Zenith Health Systems,2026-09-18,2026-10-03,12500.0000,INR,PAID
INV-7291,Zenith Health Systems,2026-09-24,2026-10-09,36000.0000,INR,PAID
INV-7667,Zeta Cloud Services,2026-09-09,2026-09-24,48000.0000,INR,PAID
INV-4816,BlueStone Analytics,2026-09-19,2026-10-04,95000.0000,INR,PAID
INV-4219,BlueStone Analytics,2026-09-24,2026-10-09,52000.0000,INR,PAID
INV-9789,Kaveri Enterprises,2026-09-05,2026-09-20,52000.0000,INR,PAID
INV-8227,Kaveri Enterprises,2026-09-10,2026-09-25,95000.0000,INR,PAID
INV-3469,Kaveri Enterprises,2026-09-09,2026-09-24,48000.0000,INR,PAID
INV-6533,Apex Logistics India,2026-09-03,2026-09-18,48000.0000,INR,PAID
INV-4329,Trident Infotech,2026-09-02,2026-09-17,18200.0000,INR,PAID
INV-2934,Apex Logistics India,2026-09-10,2026-09-25,12500.0000,INR,PAID
INV-2439,Zeta Cloud Services,2026-09-22,2026-10-07,125000.0000,INR,PAID
INV-8262,Zeta Cloud Services,2026-09-05,2026-09-20,36000.0000,INR,PAID
INV-9442,Kaveri Enterprises,2026-09-14,2026-09-29,110000.0000,INR,PAID
INV-6994,Nexus Retail Solutions,2026-09-21,2026-10-06,125000.0000,INR,PAID
INV-3286,Kaveri Enterprises,2026-09-23,2026-10-08,48000.0000,INR,PAID
INV-7647,Apex Logistics India,2026-09-15,2026-09-30,12500.0000,INR,PAID
INV-7758,Kaveri Enterprises,2026-09-24,2026-10-09,48000.0000,INR,PAID
INV-5482,Nexus Retail Solutions,2026-09-23,2026-10-08,125000.0000,INR,PAID
